Expire,Last,Chg,Bid,Ask,Vol,Open Int,Strike,Stock,c/p
"Dec 14, 2018",35.9,,30.9,32.3,0,31,1025,1023.88,p
"Dec 14, 2018",36.74,,32.1,33.5,0,2,1027.5,1023.88,p
"Dec 14, 2018",29,3.69,33.6,34.7,1,12,1030,1023.88,p
"Dec 14, 2018",,,34.5,36,0,0,1032.5,1023.88,p
"Dec 14, 2018",32,,36,37.2,0,12,1035,1023.88,p
"Dec 14, 2018",28.5,,37.4,38.5,0,1,1037.5,1023.88,p
"Dec 14, 2018",32.14,,38.7,39.9,0,5,1040,1023.88,p
"Dec 14, 2018",33.31,,40,41.4,0,4,1042.5,1023.88,p
"Dec 14, 2018",45.42,,41.2,42.8,0,16,1045,1023.88,p
"Dec 14, 2018",32.8,,43.1,44.2,0,2,1047.5,1023.88,p
"Dec 14, 2018",43.3,8.9,44.5,45.6,1,21,1050,1023.88,p
"Dec 14, 2018",40.2,,45.9,47.4,0,2,1052.5,1023.88,p
"Dec 14, 2018",36.5,,47.5,48.9,0,42,1055,1023.88,p
"Dec 14, 2018",33.8,,48.8,50.4,0,4,1057.5,1023.88,p
"Dec 14, 2018",39.1,,51.1,52.1,0,21,1060,1023.88,p
"Dec 14, 2018",39.7,,51.4,54.2,0,5,1062.5,1023.88,p
"Dec 14, 2018",40.7,,53.5,55.9,0,24,1065,1023.88,p
"Dec 14, 2018",33.5,,52.4,60.4,0,2,1067.5,1023.88,p
"Dec 14, 2018",46.1,,54.2,60.7,0,7,1070,1023.88,p
"Dec 14, 2018",35.8,,56,63.3,0,1,1072.5,1023.88,p
"Dec 14, 2018",61.43,,57.8,65.3,0,9,1075,1023.88,p
"Dec 14, 2018",40,,59.6,66.9,0,10,1077.5,1023.88,p
"Dec 14, 2018",47.1,,61.5,68.9,0,13,1080,1023.88,p
"Dec 14, 2018",57.6,,63.5,71.2,0,3,1082.5,1023.88,p
"Dec 14, 2018",55.94,,65.4,73.4,0,3,1085,1023.88,p
"Dec 14, 2018",,,67.2,75.3,0,0,1087.5,1023.88,p
"Dec 14, 2018",67.3,8.23,69.4,77.2,6,18,1090,1023.88,p
"Dec 14, 2018",,,71.4,79.2,0,0,1092.5,1023.88,p
"Dec 14, 2018",,,73.5,81.3,0,0,1095,1023.88,p
"Dec 14, 2018",78.5,10.4,78.5,80.2,1,1,1097.5,1023.88,p
"Dec 14, 2018",75.31,-16.39,77.8,85.4,6,20,1100,1023.88,p
"Dec 14, 2018",,,79.9,87.5,0,0,1102.5,1023.88,p
"Dec 14, 2018",,,81.7,89.6,0,0,1105,1023.88,p
"Dec 14, 2018",,,84.1,91.8,0,0,1107.5,1023.88,p
"Dec 14, 2018",88,26.48,86.2,93.6,5,15,1110,1023.88,p
"Dec 14, 2018",,,88.5,96.2,0,0,1112.5,1023.88,p
"Dec 14, 2018",68.99,,90.6,98.1,0,2,1115,1023.88,p
"Dec 14, 2018",,,92.9,100.6,0,0,1117.5,1023.88,p
"Dec 14, 2018",68.88,,95,102.7,0,13,1120,1023.88,p
"Dec 14, 2018",116.8,,99.5,107.4,0,1,1125,1023.88,p
