Date,Adj Close
2020/5/28,225.460007
2020/5/29,225.089996
2020/6/1,231.910004
2020/6/2,232.720001
2020/6/3,230.160004
2020/6/4,226.289993
2020/6/5,230.770004
2020/6/8,231.399994
2020/6/9,238.669998
2020/6/10,236.729996
2020/6/11,224.429993
2020/6/12,228.580002
2020/6/15,232.5
2020/6/16,235.649994
2020/6/17,235.529999
2020/6/18,235.940002
2020/6/19,238.789993
2020/6/22,239.220001
2020/6/23,242.240005
2020/6/24,234.020004
2020/6/25,235.679993
2020/6/26,216.080002
2020/6/29,220.639999
2020/6/30,227.070007
2020/7/1,237.550003
2020/7/2,233.419998
2020/7/6,240.279999
2020/7/7,240.860001
2020/7/8,243.580002
2020/7/9,244.5
2020/7/10,245.070007
2020/7/13,239
2020/7/14,239.729996
2020/7/15,240.279999
2020/7/16,240.929993
2020/7/17,242.029999
2020/7/20,245.419998
2020/7/21,241.75
2020/7/22,239.869995
2020/7/23,232.600006
2020/7/24,230.710007
2020/7/27,233.5
2020/7/28,230.119995
2020/7/29,233.289993
2020/7/30,234.5
2020/7/31,253.669998
2020/8/3,251.960007
2020/8/4,249.830002
2020/8/5,249.119995
2020/8/6,265.279999
2020/8/7,268.440002
2020/8/10,263
2020/8/11,256.130005
2020/8/12,259.890015
2020/8/13,261.299988
2020/8/14,261.23999
2020/8/17,261.160004
2020/8/18,262.339996
2020/8/19,262.589996
2020/8/20,269.01001
2020/8/21,267.01001
2020/8/24,271.390015
2020/8/25,280.820007
2020/8/26,303.910004
2020/8/27,293.220001
2020/8/28,293.660004
2020/8/31,293.200012
2020/9/1,295.440002
2020/9/2,302.5
2020/9/3,291.119995
2020/9/4,282.730011
2020/9/8,271.160004
2020/9/9,273.720001
2020/9/10,268.089996
2020/9/11,266.609985
2020/9/14,266.149994
2020/9/15,272.420013
2020/9/16,263.519989
2020/9/17,254.820007
2020/9/18,252.529999
2020/9/21,248.149994
2020/9/22,254.75
2020/9/23,249.020004
2020/9/24,249.529999
2020/9/25,254.820007
2020/9/28,256.820007
2020/9/29,261.790009
2020/9/30,261.899994
2020/10/1,266.630005
2020/10/2,259.940002
2020/10/5,264.649994
2020/10/6,258.660004
2020/10/7,258.119995
2020/10/8,263.76001
2020/10/9,264.450012
2020/10/12,275.75
2020/10/13,276.140015
2020/10/14,271.820007
2020/10/15,266.720001
2020/10/16,265.929993
