Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
3/22/2018,120.4,120.66,117.44,118.04,-3.66_,-3.00%,"10,950,478",119,24.5,7.90%,"29,145",37.60%,62.40%
3/21/2018,125.12,124.02,120.2,121.7,-3.42_,-2.70%,"14,824,039",122.14,22.7,-4.30%,"44,194",47.50%,52.50%
3/20/2018,124.59,126.83,124.45,125.12,+0.14_,0.10%,"7,113,554",125.61,23.7,3.50%,"28,631",39.30%,60.70%
3/19/2018,125.03,125.76,123.47,124.98,-0.99_,-0.80%,"6,830,383",124.67,22.9,8.10%,"29,345",36.00%,64.00%
3/16/2018,127.29,127.95,125.69,125.97,-1.25_,-1.00%,"6,662,884",126.4,21.2,-4.60%,"27,405",51.70%,48.30%
3/15/2018,128,128.46,126.67,127.22,-0.77_,-0.60%,"4,603,474",127.67,22.2,-0.90%,"21,083",40.80%,59.20%
3/14/2018,127.05,128.87,126.51,127.99,+1.26_,1.00%,"5,402,432",127.71,22.4,-1.10%,"27,448",49.70%,50.30%
3/13/2018,127.89,128.11,125.73,126.73,-0.05_,0.00%,"4,641,762",127,22.7,6.30%,"31,704",58.50%,41.50%
3/12/2018,127.87,128.2,126.78,126.78,-0.63_,-0.50%,"5,609,794",127.35,21.3,-1.70%,"33,714",40.50%,59.50%
3/9/2018,127.19,127.5,126.25,127.41,+1.05_,0.80%,"5,637,799",126.99,21.7,-6.30%,"48,056",49.00%,51.00%
3/8/2018,125.76,127.29,125.7,126.36,+1.03_,0.80%,"6,127,919",126.45,23.2,-0.80%,"52,553",54.10%,45.90%
3/7/2018,123.38,125.77,123.18,125.33,+0.85_,0.70%,"6,750,393",125.07,23.3,-0.70%,"25,401",64.50%,35.50%
