"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-06-11,2603.5,2671.38,2536.23,2557.96,2557.96,5800107,0,1
"2",2020-06-12,2601.21,2621.48,2503.35,2545.02,2545.02,5436127,0,1
"3",2020-06-15,2526.6,2584,2508,2572.68,2572.68,3873335,0,1
"4",2020-06-16,2620,2620,2576,2615.27,2615.27,3595649,0,1
"5",2020-06-17,2647.5,2655,2631.82,2640.98,2640.98,2959316,0,1
"6",2020-06-18,2647.01,2659.64,2636.11,2653.98,2653.98,2487774,0,1
"7",2020-06-19,2678.08,2697.43,2659,2675.01,2675.01,5776963,0,1
"8",2020-06-22,2684.5,2715,2669,2713.82,2713.82,3208780,0,1
"9",2020-06-23,2726.02,2783.11,2718.04,2764.41,2764.41,4231707,0,1
"10",2020-06-24,2780,2796,2721,2734.4,2734.4,4526605,0,1
"11",2020-06-25,2739.55,2756.23,2712.14,2754.58,2754.58,2968657,0,1
"12",2020-06-26,2775.06,2782.57,2688,2692.87,2692.87,6500784,0,1
"13",2020-06-29,2690.01,2696.8,2630.08,2680.38,2680.38,4223422,0,1
"14",2020-06-30,2685.07,2769.63,2675.03,2758.82,2758.82,3769686,0,1
"15",2020-07-01,2757.99,2895,2754,2878.7,2878.7,6364355,0,1
"16",2020-07-02,2912.01,2955.56,2871.1,2890.3,2890.3,6593735,0,1
"17",2020-07-06,2934.97,3059.88,2930,3057.04,3057.04,6880340,0,1
"18",2020-07-07,3058.55,3069.55,2990,3000.12,3000.12,5257688,0,1
"19",2020-07-08,3022.61,3083.97,3012.43,3081.11,3081.11,5037856,0,1
"20",2020-07-09,3115.99,3193.88,3074,3182.63,3182.63,6388971,0,1
"21",2020-07-10,3191.76,3215,3135.7,3200,3200,5486005,0,1
"22",2020-07-13,3251.06,3344.29,3068.39,3104,3104,7722519,0,1
"23",2020-07-14,3089,3127.38,2950,3084,3084,7231956,0,1
"24",2020-07-15,3080.23,3098.35,2973.18,3008.87,3008.87,5789358,0,1
"25",2020-07-16,2971.06,3032,2918.23,2999.9,2999.9,6394284,0,1
"26",2020-07-17,3009,3024,2948.45,2961.97,2961.97,4716329,0,1
"27",2020-07-20,3000.2,3201.36,2994.02,3196.84,3196.84,7488703,0,1
"28",2020-07-21,3232.49,3240.58,3105.72,3138.29,3138.29,6075758,0,1
"29",2020-07-22,3125,3149.9999,3065.26,3099.91,3099.91,4104225,0,1
"30",2020-07-23,3098.2713,3098.2713,2970,2986.55,2986.55,5656906,0,1
"31",2020-07-24,2930,3031.58,2888,3008.91,3008.91,5632413,0,1
"32",2020-07-27,3062,3098,3015.77,3055.21,3055.21,4170492,0,1
"33",2020-07-28,3054.27,3077.0926,2995.76,3000.33,3000.33,3126651,0,1
"34",2020-07-29,3030.99,3039.1592,2996.77,3033.53,3033.53,2974060,0,1
"35",2020-07-30,3014,3092,3005,3051.88,3051.88,6128265,0,1
"36",2020-07-31,3244,3246.82,3151,3164.68,3164.68,8083369,0,1
"37",2020-08-03,3180.51,3184,3104,3111.89,3111.89,5074663,0,1
"38",2020-08-04,3101.21,3167.24,3101.21,3138.83,3138.83,4694294,0,1
"39",2020-08-05,3143.77,3213.5859,3127.3,3205.03,3205.03,3930025,0,1
"40",2020-08-06,3194.36,3247.47,3165.43,3225,3225,3940602,0,1
"41",2020-08-07,3224.01,3240.81,3140.6726,3167.46,3167.46,3936127,0,1
"42",2020-08-10,3170.31,3172.51,3101.52,3148.16,3148.16,3167274,0,1
"43",2020-08-11,3113.2,3159.22,3073,3080.67,3080.67,3718057,0,1
"44",2020-08-12,3108,3174.385,3101.42,3162.24,3162.24,3527229,0,1
"45",2020-08-13,3182.99,3217.5211,3155,3161.02,3161.02,3149043,0,1
"46",2020-08-14,3178.18,3178.2357,3120,3148.02,3148.02,2751723,0,1
"47",2020-08-17,3173.12,3194.97,3154.1775,3182.41,3182.41,2675890,0,1
"48",2020-08-18,3212,3320,3205.8187,3312.49,3312.49,5345974,0,1
"49",2020-08-19,3303.01,3315.9,3256.0001,3260.48,3260.48,4185137,0,1
"50",2020-08-20,3252,3312.62,3238,3297.37,3297.37,3332478,0,1
"51",2020-08-21,3295,3314.3962,3275.39,3284.72,3284.72,3575862,0,1
"52",2020-08-24,3310.15,3380.315,3257.5608,3307.46,3307.46,4666258,0,1
"53",2020-08-25,3294.99,3357.4,3267,3346.49,3346.49,3992842,0,1
"54",2020-08-26,3351.11,3451.7387,3344.5675,3441.85,3441.85,6508743,0,1
"55",2020-08-27,3450.05,3453,3378,3400,3400,4264795,0,1
"56",2020-08-28,3423,3433.3699,3386.5,3401.8,3401.8,2896978,0,1
"57",2020-08-31,3408.99,3495,3405,3450.96,3450.96,4185885,0,1
"58",2020-09-01,3489.58,3513.87,3467,3499.12,3499.12,3476407,0,1
"59",2020-09-02,3547,3552.25,3486.685,3531.45,3531.45,3931476,0,1
"60",2020-09-03,3485,3488.41,3303,3368,3368,8161113,0,1
"61",2020-09-04,3318,3381.5,3111.13,3294.62,3294.62,8781754,0,1
"62",2020-09-08,3144,3250.845,3130,3149.84,3149.84,6094205,0,1
"63",2020-09-09,3202.99,3303.175,3185,3268.61,3268.61,5188675,0,1
"64",2020-09-10,3307.2188,3349.89,3170.55,3175.11,3175.11,5330741,0,1
"65",2020-09-11,3208.69,3217.3409,3083.98,3116.22,3116.22,5093982,0,1
"66",2020-09-14,3172.9372,3187.39,3096,3102.97,3102.97,4529596,0,1
"67",2020-09-15,3136.16,3175.02,3108.92,3156.13,3156.13,4021535,0,1
"68",2020-09-16,3179.99,3187.238,3074.15,3078.1,3078.1,4531189,0,1
"69",2020-09-17,3009.25,3029.432,2972.55,3008.73,3008.73,6449050,0,1
"70",2020-09-18,3031.74,3037.8,2905.54,2954.91,2954.91,8892580,0,1
"71",2020-09-21,2906.5,2962,2871,2960.47,2960.47,6117925,0,1
"72",2020-09-22,3033.835,3133.99,3000.2,3128.99,3128.99,6948816,0,1
"73",2020-09-23,3120.43,3126.999,2992.3759,2999.86,2999.86,5652665,0,1
"74",2020-09-24,2977.79,3069.3,2965,3019.79,3019.79,5529392,0,1
"75",2020-09-25,3054.86,3101.54,2999,3095.13,3095.13,4615202,0,1
"76",2020-09-28,3148.85,3175.04,3117.1684,3174.05,3174.05,4224165,0,1
"77",2020-09-29,3175.39,3188.26,3132.54,3144.88,3144.88,3503398,0,1
"78",2020-09-30,3141.14,3212.88,3133.99,3148.73,3148.73,4896101,0,1
"79",2020-10-01,3208,3224,3172,3221.26,3221.26,4971922,0,1
"80",2020-10-02,3153.63,3195.7965,3123,3125,3125,5613098,0,1
"81",2020-10-05,3145.84,3202.53,3140.85,3199.2,3199.2,3775332,0,1
"82",2020-10-06,3165,3182,3090,3099.96,3099.96,5086857,0,1
"83",2020-10-07,3135,3200,3132.385,3195.69,3195.69,4309439,0,1
"84",2020-10-08,3224.99,3233.2944,3174.99,3190.55,3190.55,3174114,0,1
"85",2020-10-09,3210,3288.99,3197.83,3286.65,3286.65,4907871,0,1
"86",2020-10-12,3349.94,3496.24,3339.55,3442.93,3442.93,8364198,0,1
"87",2020-10-13,3467.99,3492.38,3424.217,3443.63,3443.63,5744697,0,1
"88",2020-10-14,3447,3464.88,3340,3363.71,3363.71,5828916,0,1
"89",2020-10-15,3292.01,3355.88,3280,3338.65,3338.65,5223448,0,1
"90",2020-10-16,3363.23,3399.6606,3160,3272.71,3272.71,6474353,0,1
"91",2020-10-19,3299.61,3329,3192.735,3207.21,3207.21,5223626,0,1
"92",2020-10-20,3222.28,3266,3192.01,3217.01,3217.01,4509678,0,1
"93",2020-10-21,3212.5,3233.875,3160,3184.94,3184.94,4592736,0,1
"94",2020-10-22,3189.87,3198.75,3121.94,3176.4,3176.4,4212005,0,1
"95",2020-10-23,3191,3205.33,3140,3204.4,3204.4,3466687,0,1
"96",2020-10-26,3198.74,3282.9799,3153.3,3207.04,3207.04,5901151,0,1
"97",2020-10-27,3224.94,3291.66,3211.3,3286.33,3286.33,4291047,0,1
"98",2020-10-28,3249.3,3264.02,3162.47,3162.78,3162.78,5588330,0,1
"99",2020-10-29,3201.27,3257.25,3164,3211.01,3211.01,6596529,0,1
"100",2020-10-30,3157.75,3167.004,3019,3036.15,3036.15,8396081,0,1
