"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
2020-05-28,417.24,422.3717,411.5,413.44,413.44,5660160,0,1
2020-05-29,417.46,420.295,411.85,419.73,419.73,5270484,0,1
2020-06-01,418.83,426.72,415.98,425.92,425.92,3748573,0,1
2020-06-02,425.87,427.59,419.46,427.31,427.31,3494801,0,1
2020-06-03,426.95,427.1,418.05,421.97,421.97,4316044,0,1
2020-06-04,422.39,428.71,410.03,414.33,414.33,5410529,0,1
2020-06-05,407.29,420.2392,404.25,419.6,419.6,5099561,0,1
2020-06-08,416,420.8,406.5,419.49,419.49,5851453,0,1
2020-06-09,421.65,434.73,420.31,434.05,434.05,6796999,0,1
2020-06-10,436,439.69,430.55,434.48,434.48,4896893,0,1
2020-06-11,428.2,445.57,424.1601,425.56,425.56,7462868,0,1
2020-06-12,429,434.06,412.45,418.07,418.07,6461127,0,1
2020-06-15,421.4,426.49,415.4238,425.5,425.5,4471499,0,1
2020-06-16,425.76,437.96,425.18,436.13,436.13,5514016,0,1
2020-06-17,441.82,450.46,439.22,447.77,447.77,6529568,0,1
2020-06-18,448.73,452.76,442.8,449.87,449.87,4277627,0,1
2020-06-19,449.12,453.97,445.6,453.72,453.72,5933651,0,1
2020-06-22,455.01,468.59,454.21,468.04,468.04,6272105,0,1
2020-06-23,466.5,474.01,464.5,466.26,466.26,5948436,0,1
2020-06-24,468.54,472.36,454,457.85,457.85,4826191,0,1
2020-06-25,458.86,467.01,454,465.91,465.91,4134513,0,1
2020-06-26,466.39,468.03,442.24,443.4,443.4,6804726,0,1
2020-06-29,445.23,447.67,432.14,447.24,447.24,4843978,0,1
2020-06-30,450.02,457.59,447,455.04,455.04,4198545,0,1
2020-07-01,454,488.23,454,485.64,485.64,9711520,0,1
2020-07-02,485.64,492.28,475.53,476.89,476.89,6351983,0,1
2020-07-06,480.77,499.5,479.8,493.81,493.81,7838990,0,1
2020-07-07,497.31,504.82,490.83,493.16,493.16,5670204,0,1
2020-07-08,498.58,505.1,493.81,502.78,502.78,5691852,0,1
2020-07-09,508.4,510,495.78,507.76,507.76,5840561,0,1
2020-07-10,519.73,555.88,511.28,548.73,548.73,21605587,0,1
2020-07-13,567.98,575.37,520.96,525.5,525.5,18401757,0,1
2020-07-14,517.08,525.5,490.49,524.88,524.88,15083326,0,1
2020-07-15,516.3,529,510.18,523.26,523.26,10066652,0,1
2020-07-16,526.48,535.54,504.36,527.39,527.39,24499009,0,1
2020-07-17,494.87,503.59,484.14,492.99,492.99,24991528,0,1
2020-07-20,489.14,504.5,484.2,502.41,502.41,11859644,0,1
2020-07-21,506,506.22,488.61,490.1,490.1,9072982,0,1
2020-07-22,492.19,497.2,487.2,489.82,489.82,6954078,0,1
2020-07-23,491.13,491.9,472.0201,477.58,477.58,7722034,0,1
2020-07-24,468.77,487.17,467.54,480.45,480.45,7746247,0,1
2020-07-27,484.51,496.92,482.31,495.65,495.65,7863069,0,1
2020-07-28,496.02,497.7927,487.7601,488.51,488.51,5986727,0,1
2020-07-29,492.25,494.92,484.13,484.48,484.48,6611769,0,1
2020-07-30,480.7072,488.35,477.5101,485.8,485.8,6608569,0,1
2020-07-31,488.29,494.8,484.5,488.88,488.88,5924310,0,1
2020-08-03,490.86,503.09,490.23,498.62,498.62,5876190,0,1
2020-08-04,498.65,510.4436,498.65,509.64,509.64,5607968,0,1
