Strike,Price,Change,Bid,Ask,Volume,OpenInt
860,0.58,0,0.23,0.79,-,1427
870,0.55,-0.02,0.27,0.8,9,753
880,0.63,0.01,0.3,0.81,15,1367
890,0.64,-0.14,0.49,0.84,1,490
900,0.71,0.01,0.51,0.79,56,4838
910,0.66,-0.21,0.54,0.92,30,786
920,0.78,-0.08,0.7,0.96,5,674
930,0.76,-0.15,0.63,1.01,1,1147
940,0.91,-0.09,0.69,1,9,818
950,1.03,0.02,0.8,1.05,87,1732
960,1.1,-0.1,0.9,1.29,10,1616
970,1.21,-0.14,1,1.42,20,812
980,1.4,-0.05,1.25,1.71,20,961
990,1.51,0.09,1.35,1.89,62,571
1000,1.7,-0.09,1.61,1.75,324,3294
1010,1.87,-0.08,1.82,2.37,952,950
1020,2.21,-0.06,2.05,2.63,192,1007
1030,2.62,-0.06,2.39,2.82,142,929
1040,3.03,-0.1,2.79,3.15,164,1062
1050,3.5,0,3.25,3.55,137,2138
1060,4.17,-0.03,3.75,4.45,185,898
1080,5.6,-0.65,5.45,5.95,185,1956
1100,8.07,-0.63,7.75,8.45,615,3710
1120,11.35,-1.25,11.15,12,491,3384
