Date,Open,High,Low,Close,Adj Close,Volume,IV30,,,,
15/10/2018,1795,1795.050049,1734.22998,1760.949951,1760.949951,6437200,46.99,,,,
16/10/2018,1783.5,1823.880005,1761.550049,1819.959961,1819.959961,5859900,43.88,,,,
17/10/2018,1842.790039,1845,1807,1831.72998,1831.72998,5295200,41.76,,,,
18/10/2018,1821.48999,1830.150024,1767.869995,1770.719971,1770.719971,5874000,46.58,,,,
19/10/2018,1785.160034,1809.099976,1753,1764.030029,1764.030029,5907200,45.09,,,,
22/10/2018,1784,1809.5,1756,1789.300049,1789.300049,4500000,43.85,,,,
23/10/2018,1742.23999,1776.339966,1714,1768.699951,1768.699951,6723900,44.73,,,,
24/10/2018,1773.699951,1777.709961,1656.560059,1664.199951,1664.199951,6928400,51.18,,,,
25/10/2018,1703.339966,1794.810059,1692.01001,1782.170044,1782.170044,10285700,44.77,,,,
26/10/2018,1649.589966,1698.459961,1603,1642.810059,1642.810059,14963800,39.81,,,,
29/10/2018,1660,1665.73999,1495,1538.880005,1538.880005,13866100,48.35,,,,
30/10/2018,1486.160034,1540.98999,1476.359985,1530.420044,1530.420044,12460100,45.46,,,,
31/10/2018,1569.98999,1623.910034,1565.089966,1598.01001,1598.01001,9390200,40.89,,,,
1/11/2018,1623.530029,1670.449951,1598.439941,1665.530029,1665.530029,8135500,38.16,,,,
2/11/2018,1678.589966,1697.439941,1651.829956,1665.530029,1665.530029,6955500,38.9,,,,
5/11/2018,1657.569946,1658.089966,1596.359985,1627.800049,1627.800049,5624700,39.55,,,,
6/11/2018,1618.349976,1665,1614.550049,1642.810059,1642.810059,4257400,38.2,,,,
7/11/2018,1673,1759.22998,1664.079956,1755.48999,1755.48999,8192200,34.67,,,,
8/11/2018,1755,1784,1725.109985,1754.910034,1754.910034,6534900,35.72,,,,
9/11/2018,1732.5,1743.920044,1701.869995,1712.430054,1712.430054,5902200,37.68,,,,
12/11/2018,1698.23999,1708.550049,1630.01001,1636.849976,1636.849976,6806200,43.43,,,,
13/11/2018,1649.290039,1677.060059,1613.75,1631.170044,1631.170044,5933300,43.22,,,,
14/11/2018,1656.319946,1673,1597.069946,1599.01001,1599.01001,6486900,43.95,,,,
15/11/2018,1581.01001,1624.819946,1546.51001,1619.439941,1619.439941,8427300,42.83,,,,
16/11/2018,1587.5,1614.47998,1573.119995,1593.410034,1593.410034,6066100,42.43,,,,
19/11/2018,1577.01001,1581.189941,1503.359985,1512.290039,1512.290039,7790000,46.49,,,,
20/11/2018,1437.5,1534.75,1420,1495.459961,1495.459961,10878800,47.49,,,,
21/11/2018,1542.98999,1550,1515,1516.72998,1516.72998,5716800,43.43,,,,
23/11/2018,1517,1536.199951,1501.810059,1502.060059,1502.060059,2707600,44.18,,,,
26/11/2018,1539,1584.810059,1524.219971,1581.329956,1581.329956,6257700,40.23,,,,
27/11/2018,1575.98999,1597.650024,1558.01001,1581.420044,1581.420044,5783200,38.79,,,,
28/11/2018,1613.920044,1681.449951,1601.219971,1677.75,1677.75,8458700,37.49,,,,
29/11/2018,1674.98999,1689.98999,1652.329956,1673.569946,1673.569946,6613200,37.82,,,,
30/11/2018,1679.5,1696,1666.5,1690.170044,1690.170044,5761800,37.59,,,,
3/12/2018,1769.459961,1778.339966,1730,1772.359985,1772.359985,6862300,32.96,,,,
4/12/2018,1756,1770.339966,1665,1668.400024,1668.400024,8694500,38.76,,,,
6/12/2018,1614.869995,1701.050049,1609.849976,1699.189941,1699.189941,8789400,39.72,,,,
7/12/2018,1705.069946,1718.930054,1625.459961,1629.130005,1629.130005,7576100,43.62,,,,
10/12/2018,1623.839966,1657.98999,1590.869995,1641.030029,1641.030029,7494800,43.76,,,,
11/12/2018,1678,1679.469971,1619.599976,1643.23999,1643.23999,6244700,43.25,,,,
12/12/2018,1669,1704.98999,1660.27002,1663.540039,1663.540039,6598000,41.86,,,,
13/12/2018,1680,1692.119995,1641.5,1658.380005,1658.380005,5271300,41.23,,,,
14/12/2018,1638,1642.569946,1585,1591.910034,1591.910034,6367200,44.17,,,,
17/12/2018,1566,1576.130005,1505.01001,1520.910034,1520.910034,8829800,48.96,,,,
18/12/2018,1540,1567.550049,1523.01001,1551.47998,1551.47998,6523000,48.12,,,,
19/12/2018,1543.050049,1584.530029,1483.180054,1495.079956,1495.079956,8792200,48.94,,,,
20/12/2018,1484,1509.5,1432.689941,1460.829956,1460.829956,9991800,50.24,,,,
21/12/2018,1464.98999,1480,1363.959961,1377.449951,1377.449951,13640300,53.93,,,,
24/12/2018,1346,1396.030029,1307,1343.959961,1343.959961,7220000,60.07,,,,
26/12/2018,1368.890015,1473.160034,1363.01001,1470.900024,1470.900024,10411800,52.48,,,,
27/12/2018,1454.199951,1469,1390.310059,1461.640015,1461.640015,9722000,53.23,,,,
28/12/2018,1473.349976,1513.469971,1449,1478.02002,1478.02002,8829000,48.97,,,,
31/12/2018,1510.800049,1520.76001,1487,1501.969971,1501.969971,6954500,48.45,,,,
2/1/2019,1465.199951,1553.359985,1460.930054,1539.130005,1539.130005,7983100,46.68,,,,
3/1/2019,1520.01001,1538,1497.109985,1500.280029,1500.280029,6975600,49.95,,,,
4/1/2019,1530,1594,1518.310059,1575.390015,1575.390015,9182600,44.38,,,,
7/1/2019,1602.310059,1634.560059,1589.189941,1629.51001,1629.51001,7993200,46.02,,,,
8/1/2019,1664.689941,1676.609985,1616.609985,1656.579956,1656.579956,8881400,45.02,,,,
9/1/2019,1652.97998,1667.800049,1641.400024,1659.420044,1659.420044,6348800,43.95,,,,
10/1/2019,1641.01001,1663.25,1621.619995,1656.219971,1656.219971,6507700,44.08,,,,
11/1/2019,1640.550049,1660.290039,1636.219971,1640.560059,1640.560059,4686200,43.8,,,,
14/1/2019,1615,1648.199951,1595.150024,1617.209961,1617.209961,6005900,45.05,,,,
15/1/2019,1632,1675.160034,1626.01001,1674.560059,1674.560059,5998500,42.51,,,,
16/1/2019,1684.219971,1705,1675.880005,1683.780029,1683.780029,6366900,40.91,,,,
17/1/2019,1680,1700.170044,1677.5,1693.219971,1693.219971,4208900,40.23,,,,
18/1/2019,1712,1716.199951,1691.540039,1696.199951,1696.199951,6020500,38.56,,,,
22/1/2019,1681,1681.869995,1610.199951,1632.170044,1632.170044,6416800,43.66,,,,
23/1/2019,1656,1657.430054,1612,1640.02002,1640.02002,5225200,43.45,,,,
24/1/2019,1641.069946,1657.26001,1631.780029,1654.930054,1654.930054,4089900,41.23,,,,
25/1/2019,1670.5,1683.47998,1661.609985,1670.569946,1670.569946,4945900,39.04,,,,
28/1/2019,1643.589966,1645,1614.089966,1637.890015,1637.890015,4837700,41.6,,,,
29/1/2019,1631.27002,1632.380005,1590.719971,1593.880005,1593.880005,4632800,42.32,,,,
30/1/2019,1623,1676.949951,1619.680054,1670.430054,1670.430054,5783800,39.29,,,,
31/1/2019,1692.849976,1736.410034,1679.079956,1718.72998,1718.72998,10910300,38.69,,,,
1/2/2019,1638.880005,1673.060059,1622.01001,1626.22998,1626.22998,11506200,32.53,,,,
4/2/2019,1623,1649.630005,1613.5,1633.310059,1633.310059,4929100,30.4,,,,
5/2/2019,1643.339966,1665.26001,1642.5,1658.810059,1658.810059,4453100,28.26,,,,
6/2/2019,1670.75,1672.26001,1633.339966,1640.26001,1640.26001,3939900,28.57,,,,
7/2/2019,1625,1625.540039,1592.910034,1614.369995,1614.369995,4626600,29.73,,,,
8/2/2019,1586,1588.589966,1566.76001,1588.219971,1588.219971,5657500,30,,,,
11/2/2019,1600.97998,1609.290039,1586,1591,1591,3317300,29.67,,,,
12/2/2019,1604,1639.400024,1598.880005,1638.01001,1638.01001,4858600,27.41,,,,
13/2/2019,1647,1656.380005,1637.109985,1640,1640,3560300,27.32,,,,
14/2/2019,1624.5,1637.900024,1606.060059,1622.650024,1622.650024,4120500,27.64,,,,
15/2/2019,1627.859985,1628.910034,1604.5,1607.949951,1607.949951,4343900,27.27,,,,
19/2/2019,1601,1634,1600.560059,1627.579956,1627.579956,3681700,26.35,,,,
20/2/2019,1630,1634.930054,1610.119995,1622.099976,1622.099976,3337600,26.51,,,,
21/2/2019,1619.849976,1623.560059,1600.910034,1619.439941,1619.439941,3483400,26.35,,,,
22/2/2019,1623.5,1634.939941,1621.170044,1631.560059,1631.560059,3096200,24.47,,,,
25/2/2019,1641.449951,1654.599976,1630.390015,1633,1633,3184500,25.13,,,,
26/2/2019,1625.97998,1639.98999,1616.130005,1636.400024,1636.400024,2665800,24.43,,,,
27/2/2019,1628.180054,1641.810059,1615.099976,1641.089966,1641.089966,3148800,24.83,,,,
28/2/2019,1635.25,1651.77002,1633.829956,1639.829956,1639.829956,3025900,24.24,,,,
1/3/2019,1655.130005,1674.26001,1651,1671.72998,1671.72998,4974900,23.85,,,,
4/3/2019,1685,1709.430054,1674.359985,1696.170044,1696.170044,6167400,25.24,,,,
5/3/2019,1702.949951,1707.800049,1689.01001,1692.430054,1692.430054,3681500,24.77,,,,
6/3/2019,1695.969971,1697.75,1668.280029,1668.949951,1668.949951,3996000,26.18,,,,
7/3/2019,1667.369995,1669.75,1620.51001,1625.949951,1625.949951,4957000,29.31,,,,
8/3/2019,1604.01001,1622.719971,1586.569946,1620.800049,1620.800049,4667000,29.46,,,,
11/3/2019,1626.119995,1672.290039,1626.01001,1670.619995,1670.619995,3876400,22.99,,,,
12/3/2019,1669,1684.27002,1660.97998,1673.099976,1673.099976,3614500,22.1,,,,
13/3/2019,1683,1700,1679.349976,1690.810059,1690.810059,3552000,21.66,,,,
14/3/2019,1691.199951,1702,1684.339966,1686.219971,1686.219971,2946600,22.33,,,,
15/3/2019,1703,1718.800049,1693.130005,1712.359985,1712.359985,7550900,22.27,,,,
18/3/2019,1712.699951,1750,1712.630005,1742.150024,1742.150024,5429100,23.72,,,,
19/3/2019,1753.51001,1784.160034,1753.51001,1761.849976,1761.849976,6364200,25.31,,,,
20/3/2019,1769.939941,1799.5,1767.030029,1797.27002,1797.27002,6265600,25.51,,,,
21/3/2019,1796.26001,1823.75,1787.280029,1819.26001,1819.26001,5767800,26.13,,,,
22/3/2019,1810.170044,1818.97998,1763.109985,1764.77002,1764.77002,6363000,28.85,,,,
25/3/2019,1757.790039,1782.680054,1747.5,1774.26001,1774.26001,5103800,30.48,,,,
26/3/2019,1793,1805.77002,1773.359985,1783.76001,1783.76001,4865900,29.96,,,,
27/3/2019,1784.130005,1787.5,1745.680054,1765.699951,1765.699951,4324800,30.86,,,,
28/3/2019,1770,1777.930054,1753.469971,1773.420044,1773.420044,3043000,30.27,,,,
29/3/2019,1786.579956,1792.859985,1776.630005,1780.75,1780.75,3320800,28.92,,,,
1/4/2019,1800.109985,1815.670044,1798.72998,1814.189941,1814.189941,4238800,29.33,,,,
2/4/2019,1811.02002,1820,1805.119995,1813.97998,1813.97998,3448100,29.92,,,,
3/4/2019,1826.719971,1830,1809.619995,1820.699951,1820.699951,3926100,30.18,,,,
4/4/2019,1820.650024,1828.75,1804.199951,1818.859985,1818.859985,3623900,30.39,,,,
5/4/2019,1829,1838.579956,1825.189941,1837.280029,1837.280029,3640500,29.73,,,,
8/4/2019,1833.22998,1850.199951,1825.109985,1849.859985,1849.859985,3752800,31.12,,,,
9/4/2019,1845.48999,1853.089966,1831.780029,1835.839966,1835.839966,3714400,31.77,,,,
10/4/2019,1841,1848,1828.810059,1847.329956,1847.329956,2964000,31.51,,,,
11/4/2019,1848.699951,1849.949951,1840.310059,1844.069946,1844.069946,2654800,31.29,,,,
12/4/2019,1848.400024,1851.5,1841.300049,1843.060059,1843.060059,3114400,29.74,,,,
15/4/2019,1842,1846.849976,1818.900024,1844.869995,1844.869995,3724400,30.26,,,,
16/4/2019,1851.349976,1869.77002,1848,1863.040039,1863.040039,3044600,29.23,,,,
17/4/2019,1872.98999,1876.469971,1860.439941,1864.819946,1864.819946,2893500,28.44,,,,
18/4/2019,1868.790039,1870.819946,1859.47998,1861.689941,1861.689941,2749900,27.16,,,,
22/4/2019,1855.400024,1888.420044,1845.640015,1887.310059,1887.310059,3373800,28.42,,,,
23/4/2019,1891.199951,1929.26001,1889.579956,1923.77002,1923.77002,4640400,27.71,,,,
24/4/2019,1925,1929.689941,1898.160034,1901.75,1901.75,3675800,28.06,,,,
25/4/2019,1917,1922.449951,1900.310059,1902.25,1902.25,6099100,28.32,,,,
26/4/2019,1929,1951,1898,1950.630005,1950.630005,8432600,22.36,,,,
29/4/2019,1949,1956.339966,1934.089966,1938.430054,1938.430054,4021300,21.97,,,,
30/4/2019,1930.099976,1935.709961,1906.949951,1926.52002,1926.52002,3506000,21.77,,,,
1/5/2019,1933.089966,1943.640015,1910.550049,1911.52002,1911.52002,3117000,22.18,,,,
2/5/2019,1913.329956,1921.550049,1881.869995,1900.819946,1900.819946,3962900,23.34,,,,
3/5/2019,1949,1964.400024,1936,1962.459961,1962.459961,6381600,22.64,,,,
6/5/2019,1917.97998,1959,1910.5,1950.550049,1950.550049,5417800,24.97,,,,
7/5/2019,1939.98999,1949.099976,1903.380005,1921,1921,5902100,29.11,,,,
8/5/2019,1918.869995,1935.369995,1910,1917.77002,1917.77002,4078600,28.43,,,,
9/5/2019,1900,1909.400024,1876,1899.869995,1899.869995,5308300,28.88,,,,
10/5/2019,1898,1903.790039,1856,1889.97998,1889.97998,5718000,27.14,,,,
13/5/2019,1836.560059,1846.540039,1818,1822.680054,1822.680054,5783400,30.71,,,,
14/5/2019,1839.5,1852.439941,1815.75,1840.119995,1840.119995,4629100,27.38,,,,
15/5/2019,1827.949951,1874.430054,1823,1871.150024,1871.150024,4692600,25.08,,,,
16/5/2019,1885.939941,1917.51001,1882.290039,1907.569946,1907.569946,4707800,23.92,,,,
17/5/2019,1893.050049,1910.530029,1867.329956,1869,1869,4736600,25.67,,,,
20/5/2019,1852.689941,1867.780029,1835.540039,1858.969971,1858.969971,3798200,27.13,,,,
21/5/2019,1874.790039,1879,1846,1857.52002,1857.52002,4005100,26.51,,,,
22/5/2019,1851.780029,1871.48999,1851,1859.680054,1859.680054,2936600,26.11,,,,
23/5/2019,1836.589966,1844,1804.199951,1815.47998,1815.47998,4424300,29.62,,,,
24/5/2019,1835.890015,1841.76001,1817.849976,1823.280029,1823.280029,3369700,27.21,,,,
28/5/2019,1832.75,1849.27002,1827.349976,1836.430054,1836.430054,3200000,27.63,,,,
29/5/2019,1823.119995,1830,1807.530029,1819.189941,1819.189941,4279000,28.35,,,,
30/5/2019,1825.48999,1829.469971,1807.829956,1816.319946,1816.319946,3146900,27.69,,,,
31/5/2019,1790.01001,1795.589966,1772.699951,1775.069946,1775.069946,4618800,29.27,,,,
3/6/2019,1760.01001,1766.290039,1672,1692.689941,1692.689941,9098700,33.99,,,,
4/6/2019,1699.23999,1730.819946,1680.890015,1729.560059,1729.560059,5679100,29.67,,,,
5/6/2019,1749.599976,1752,1715.25,1738.5,1738.5,4239800,28.8,,,,
6/6/2019,1737.709961,1760,1726.130005,1754.359985,1754.359985,3689300,27.89,,,,
7/6/2019,1763.699951,1806.25,1759.48999,1804.030029,1804.030029,4808200,26.86,,,,
10/6/2019,1822,1884.869995,1818,1860.630005,1860.630005,5371000,28.1,,,,
11/6/2019,1883.25,1893.699951,1858,1863.699951,1863.699951,4042700,27.46,,,,
12/6/2019,1853.97998,1865,1844.380005,1855.319946,1855.319946,2678300,27.43,,,,
13/6/2019,1866.719971,1883.089966,1862.219971,1870.300049,1870.300049,2795800,27.17,,,,
