Strike,Price,Change,Bid,Ask,Volume,Quantity,CallPut
710,0.34,0.17,-,0.5,4,1417,Put
720,0.3,-0.13,0.01,0.42,3,1190,Put
730,0.36,0,0.04,0.59,-,1170,Put
740,0.29,0,0.2,0.42,-,1539,Put
750,0.3,0,0.1,0.74,-,3267,Put
760,0.42,0,0.1,0.52,-,1284,Put
770,0.37,0,0.16,0.51,-,1581,Put
780,0.3,-0.05,0.03,0.52,3,1751,Put
790,0.39,-0.25,0.15,0.54,6,1664,Put
800,0.37,-0.07,0.2,0.47,16,3417,Put
810,0.46,-0.11,0.1,0.76,150,839,Put
820,0.49,0.07,0.25,0.84,77,3765,Put
830,0.48,-0.2,0.05,0.74,240,1121,Put
840,0.53,-0.07,0.02,0.81,4,1310,Put
850,0.54,-0.11,0.12,0.5,76,4737,Put
860,0.58,-0.08,0.1,0.92,4,1430,Put
870,0.57,-0.85,0.04,0.95,20,773,Put
880,0.62,-0.21,0.07,0.9,4,1367,Put
890,0.78,-0.37,0.12,0.93,5,492,Put
900,0.7,-0.22,0.5,1,17,4850,Put
910,0.87,-0.13,0.24,1.03,13,799,Put
920,0.86,-0.14,0.52,1.09,3,674,Put
930,0.91,-0.24,0.51,1.16,1,1147,Put
940,1,-0.28,0.7,1.2,5,821,Put
950,1.01,-0.49,0.57,1.19,41,1759,Put
960,1.2,-0.33,0.88,1.44,1,1616,Put
970,1.35,-0.52,1.21,1.57,4,814,Put
980,1.45,-0.5,1.01,1.58,30,965,Put
990,1.42,-0.86,1.28,1.72,45,570,Put
1000,1.79,-0.91,1.7,1.85,144,3278,Put
1010,1.95,-1.23,1.79,2.13,346,653,Put
1020,2.27,-1.41,2.05,2.41,54,1017,Put
1030,2.68,-1.54,2.46,2.87,113,915,Put
1040,3.13,-1.96,2.89,3.35,317,931,Put
1050,3.5,-2.48,3.4,3.75,124,2147,Put
1060,4.2,-3.2,4.1,4.7,195,973,Put
1080,6.25,-3.92,5.85,6.7,494,1738,Put
1100,8.7,-5.55,8.45,8.8,362,3578,Put
1120,12.6,-7,12.4,12.7,216,3302,Put
