Expiry Date,Strike,Open Int,Underlying,Call/Put,Bid ,Ask
"Dec 14, 2018",1065,24,GOOG,Put,53.5,55.9
"Dec 14, 2018",1067.5,2,GOOG,Put,52.4,60.4
"Dec 14, 2018",1070,7,GOOG,Put,54.2,60.7
"Dec 14, 2018",1072.5,1,GOOG,Put,56,63.3
"Dec 14, 2018",1075,9,GOOG,Put,57.8,65.3
"Dec 14, 2018",1077.5,10,GOOG,Put,59.6,66.9
"Dec 14, 2018",1080,13,GOOG,Put,61.5,68.9
"Dec 14, 2018",1082.5,3,GOOG,Put,63.5,71.2
"Dec 14, 2018",1085,3,GOOG,Put,65.4,73.4
"Dec 14, 2018",1087.5,0,GOOG,Put,67.2,75.3
"Dec 14, 2018",1090,18,GOOG,Put,69.4,77.2
"Dec 14, 2018",1092.5,0,GOOG,Put,71.4,79.2
"Dec 14, 2018",1095,0,GOOG,Put,73.5,81.3
"Dec 14, 2018",1097.5,1,GOOG,Put,78.5,80.2
"Dec 14, 2018",1100,20,GOOG,Put,77.8,85.4
"Dec 14, 2018",1102.5,0,GOOG,Put,79.9,87.5
"Dec 14, 2018",1105,0,GOOG,Put,81.7,89.6
"Dec 14, 2018",1107.5,0,GOOG,Put,84.1,91.8
"Dec 14, 2018",1110,15,GOOG,Put,86.2,93.6
"Dec 14, 2018",1112.5,0,GOOG,Put,88.5,96.2
"Dec 14, 2018",1115,2,GOOG,Put,90.6,98.1
"Dec 14, 2018",1117.5,0,GOOG,Put,92.9,100.6
"Dec 14, 2018",1120,13,GOOG,Put,95,102.7
"Dec 14, 2018",1125,1,GOOG,Put,99.5,107.4
