"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,131,133.91,129.3,131.15,130.1152,3238000,0,1
"2",2020-05-29,130.19,130.89,126.44,130.56,129.5298,3410100,0,1
"3",2020-06-01,129.05,130.46,127.46,129.71,128.6865,1990300,0,1
"4",2020-06-02,130.83,134.59,130.71,134.2,133.1411,2522000,0,1
"5",2020-06-03,137,139.88,136.53,138.08,136.9905,2728800,0,1
"6",2020-06-04,137.3,139.25,135.65,139.21,138.1116,2001300,0,1
"7",2020-06-05,143,145.77,142,142.21,141.0879,3583900,0,1
"8",2020-06-08,144.94,149.99,144.14,149.38,148.2013,2709900,0,1
"9",2020-06-09,145.88,145.93,142.1,144.69,143.5483,2253100,0,1
"10",2020-06-10,144,144.41,140.32,140.4,139.2922,2079600,0,1
"11",2020-06-11,133.95,134.47,127.81,128.81,127.7936,4389300,0,1
"12",2020-06-12,134.59,135,129.14,132.72,131.6728,2271700,0,1
"13",2020-06-15,128.42,134.63,127.29,133.68,132.6252,1835300,0,1
"14",2020-06-16,138.15,139.37,133,135.54,134.4705,1651800,0,1
"15",2020-06-17,136.71,137.4,134.87,135.66,134.5896,1214400,0,1
"16",2020-06-18,134.92,139.34,134.5,138.39,137.298,2416200,0,1
"17",2020-06-19,140.76,140.88,135.62,137.63,136.544,2828500,0,1
"18",2020-06-22,136.55,137.75,135.2,137.38,136.296,1448100,0,1
"19",2020-06-23,138.55,139.84,137.38,139.07,137.9727,1385200,0,1
"20",2020-06-24,137.65,138,134.13,135.09,134.0241,2357300,0,1
"21",2020-06-25,133.72,136.28,132.23,136.11,135.036,2310900,0,1
"22",2020-06-26,135.2,135.38,129.28,130.08,129.6985,3282000,0.65,1
"23",2020-06-29,131.3,134.73,130.12,134.55,134.1554,2336249,0,1
"24",2020-06-30,136.22,140.75,134.92,140.22,139.8087,6473300,0,1
"25",2020-07-01,158.85,163.65,155.76,156.66,156.2005,17967500,0,1
"26",2020-07-02,158.6,159.72,155.28,155.48,155.024,4045800,0,1
"27",2020-07-06,157.9,158.4,153.66,156.27,155.8117,3015800,0,1
"28",2020-07-07,154.27,159.95,154.13,158.54,158.075,2582800,0,1
"29",2020-07-08,158.12,159.38,156.27,158.56,158.095,2110700,0,1
"30",2020-07-09,158,158.75,155.32,155.74,155.2832,2238300,0,1
"31",2020-07-10,156.2,159.01,155.97,158.59,158.1249,1746200,0,1
"32",2020-07-13,160,160.22,155.66,156.23,155.7718,1735900,0,1
"33",2020-07-14,156.23,158.92,155.53,158.5,158.0351,1641100,0,1
"34",2020-07-15,160.42,162.53,159.04,161.25,160.7771,3332800,0,1
"35",2020-07-16,161.77,167.1,160.47,166.1,165.6128,4100000,0,1
"36",2020-07-17,167.28,168.12,164.91,165.98,165.4932,2047900,0,1
"37",2020-07-20,164.89,165.55,162.81,164.13,163.6486,1593300,0,1
"38",2020-07-21,165.1,167.56,164.41,165.5,165.0146,1731700,0,1
"39",2020-07-22,164.64,165.94,163.44,165.14,164.6557,1231859,0,1
"40",2020-07-23,165.41,167.39,164.65,165.99,165.5032,1387204,0,1
"41",2020-07-24,164.69,166.88,164.19,165.04,164.5559,1546235,0,1
"42",2020-07-27,165,170.72,163.86,170.64,170.1395,2926388,0,1
"43",2020-07-28,169.42,170.3299,166.711,166.93,166.4404,2374595,0,1
"44",2020-07-29,167.1,171.37,167.01,169.55,169.0527,4623873,0,1
"45",2020-07-30,174.15,174.5,169.8601,172.71,172.2035,5407268,0,1
"46",2020-07-31,172,172.71,167.99,168.4,167.9061,2488103,0,1
"47",2020-08-03,169.55,170.585,168.53,169.22,168.7237,1503570,0,1
"48",2020-08-04,169.22,171.48,169.2,170.66,170.1595,1264202,0,1
"49",2020-08-05,171.85,172.4233,170.2442,171.7,171.1964,1309963,0,1
"50",2020-08-06,172,173.48,171.32,172.24,171.7348,1364902,0,1
"51",2020-08-07,172.47,183.88,172.47,183.53,182.9917,6311099,0,1
"52",2020-08-10,188.16,200.46,187.34,199.98,199.3935,10815110,0,1
"53",2020-08-11,199.99,203.585,195.14,196.45,195.8738,5998248,0,1
"54",2020-08-12,200,206.24,199.015,201.96,201.3677,6239385,0,1
"55",2020-08-13,200.68,204.79,199.61,203.86,203.2621,3663846,0,1
"56",2020-08-14,202.07,209.6412,201.86,208.6,207.9882,4632952,0,1
"57",2020-08-17,210,211.56,206.0373,206.64,206.0339,2652897,0,1
"58",2020-08-18,206.37,208.43,204.18,206.97,206.363,3040684,0,1
"59",2020-08-19,206.84,210.94,206.84,207.88,207.2703,2217960,0,1
"60",2020-08-20,206.23,209.2,205.06,208.82,208.2075,1532805,0,1
"61",2020-08-21,209.16,212.94,208.5,210.49,209.8726,2034054,0,1
"62",2020-08-24,212.96,217.95,211.99,217.4,216.7624,3393717,0,1
"63",2020-08-25,219.17,219.58,213.22,214.31,213.6814,2160235,0,1
"64",2020-08-26,215.73,217.12,214.08,215.77,215.1372,1518191,0,1
"65",2020-08-27,216.1,218.875,215.08,218.21,217.57,2014856,0,1
"66",2020-08-28,218.23,223.66,218.01,221.9,221.2492,2996129,0,1
"67",2020-08-31,221.8,224.2,219.8,219.84,219.1952,1839581,0,1
"68",2020-09-01,219.99,226.55,219.1406,225.46,224.7987,1904774,0,1
"69",2020-09-02,227.12,229,223.07,227.91,227.2416,1680746,0,1
"70",2020-09-03,228.13,231.58,218.59,220.97,220.97,4003783,0.65,1
"71",2020-09-04,222.46,228.236,217.398,226.12,226.12,2879820,0,1
"72",2020-09-08,223.79,225.7478,219.72,221.05,221.05,2121067,0,1
"73",2020-09-09,226,228.845,224.12,225.75,225.75,3222696,0,1
"74",2020-09-10,229.49,229.49,222.89,224.44,224.44,2443294,0,1
"75",2020-09-11,226.44,233.67,225.47,232.79,232.79,4865220,0,1
"76",2020-09-14,240.99,241,232.5701,236.34,236.34,6583670,0,1
"77",2020-09-15,234.99,239.85,230.51,236.67,236.67,9847346,0,1
"78",2020-09-16,253.03,256.18,246.3,250.3,250.3,17082179,0,1
"79",2020-09-17,242.63,249.8,242.11,244.08,244.08,4254299,0,1
"80",2020-09-18,242.97,248.2,241.95,242.78,242.78,4348747,0,1
"81",2020-09-21,237.95,239.19,230.27,238.74,238.74,4109508,0,1
"82",2020-09-22,239.51,243.78,235.63,243.42,243.42,2651668,0,1
"83",2020-09-23,244.99,250.5104,241.04,241.42,241.42,3083045,0,1
"84",2020-09-24,244.01,247.2,239.5,244.22,244.22,3048346,0,1
"85",2020-09-25,241.68,251.8994,241.47,250.17,250.17,3212430,0,1
"86",2020-09-28,255.27,259.95,254.08,254.44,254.44,3309826,0,1
"87",2020-09-29,254.99,258.2,249.12,253.5,253.5,2204308,0,1
"88",2020-09-30,253.47,257.5061,249.5,251.52,251.52,2506013,0,1
"89",2020-10-01,255.26,257.79,252.88,254.08,254.08,2862287,0,1
"90",2020-10-02,250.55,258.55,250,255.2,255.2,3015325,0,1
"91",2020-10-05,258.8,260.96,257.73,259.21,259.21,2427788,0,1
"92",2020-10-06,260.12,264.98,258.18,259.27,259.27,3152178,0,1
"93",2020-10-07,263.85,270.66,263.5,268.26,268.26,2986524,0,1
"94",2020-10-08,269.73,272.525,266.3501,271.06,271.06,1993009,0,1
"95",2020-10-09,274.4,275,269.54,271.55,271.55,2172049,0,1
"96",2020-10-12,272.26,274.21,271.32,273.5,273.5,2063626,0,1
"97",2020-10-13,272.32,275.24,271.85,272.74,272.74,1657102,0,1
"98",2020-10-14,274.75,278.96,273.77,276.24,276.24,2080629,0,1
"99",2020-10-15,273.09,282.14,271.7487,282.11,282.11,2258087,0,1
"100",2020-10-16,284,287.1599,282.0009,283.87,283.87,2992528,0,1
