ExtractionDate ,ExpiryDate,StockPrice,Strike,Quantity,Underlying,Position,Type,OptionPrice
24-Nov-17,19-Jan-18,1156.16,1010,853,AMZN,Long,Call,152.03
24-Nov-17,19-Jan-18,1156.16,1020,987,AMZN,Long,Call,143.61
24-Nov-17,19-Jan-18,1156.16,1030,1287,AMZN,Long,Call,127.16
24-Nov-17,19-Jan-18,1156.16,1040,805,AMZN,Long,Call,126.56
24-Nov-17,19-Jan-18,1156.16,1050,1953,AMZN,Long,Call,115
24-Nov-17,19-Jan-18,1156.16,1060,1491,AMZN,Long,Call,109.87
24-Nov-17,19-Jan-18,1156.16,1080,2099,AMZN,Long,Call,89.4
24-Nov-17,19-Jan-18,1156.16,1100,8862,AMZN,Long,Call,73.6
24-Nov-17,19-Jan-18,1156.16,1120,4161,AMZN,Long,Call,58.85
24-Nov-17,19-Jan-18,1156.16,240,3486,AMZN,Long,Put,0.01
24-Nov-17,19-Jan-18,1156.16,250,497,AMZN,Long,Put,0.02
24-Nov-17,19-Jan-18,1156.16,260,1271,AMZN,Long,Put,0.02
24-Nov-17,19-Jan-18,1156.16,265,360,AMZN,Long,Put,0.02
24-Nov-17,19-Jan-18,1156.16,270,264,AMZN,Long,Put,0.02
24-Nov-17,19-Jan-18,1156.16,280,517,AMZN,Long,Put,0.02
24-Nov-17,19-Jan-18,1156.16,290,477,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,300,1015,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,310,113,AMZN,Long,Put,0.04
24-Nov-17,19-Jan-18,1156.16,320,204,AMZN,Long,Put,0.02
24-Nov-17,19-Jan-18,1156.16,330,278,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,340,222,AMZN,Long,Put,0.05
24-Nov-17,19-Jan-18,1156.16,350,946,AMZN,Long,Put,0.06
24-Nov-17,19-Jan-18,1156.16,360,728,AMZN,Long,Put,0.05
24-Nov-17,19-Jan-18,1156.16,370,537,AMZN,Long,Put,0.05
24-Nov-17,19-Jan-18,1156.16,380,621,AMZN,Long,Put,0.05
24-Nov-17,19-Jan-18,1156.16,390,611,AMZN,Long,Put,0.05
24-Nov-17,19-Jan-18,1156.16,400,1972,AMZN,Long,Put,0.04
24-Nov-17,19-Jan-18,1156.16,410,820,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,420,754,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,430,470,AMZN,Long,Put,0.06
24-Nov-17,19-Jan-18,1156.16,440,1283,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,450,2069,AMZN,Long,Put,0.04
24-Nov-17,19-Jan-18,1156.16,460,1726,AMZN,Long,Put,0.16
24-Nov-17,19-Jan-18,1156.16,470,470,AMZN,Long,Put,0.08
24-Nov-17,19-Jan-18,1156.16,480,1202,AMZN,Long,Put,0.01
24-Nov-17,19-Jan-18,1156.16,490,620,AMZN,Long,Put,0.03
24-Nov-17,19-Jan-18,1156.16,500,3224,AMZN,Long,Put,0.04
24-Nov-17,19-Jan-18,1156.16,510,509,AMZN,Long,Put,0.08
24-Nov-17,19-Jan-18,1156.16,520,852,AMZN,Long,Put,0.08
24-Nov-17,19-Jan-18,1156.16,530,491,AMZN,Long,Put,0.1
24-Nov-17,19-Jan-18,1156.16,540,998,AMZN,Long,Put,0.09
