Calls,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,Puts,Last,Chg,Bid,Ask,Vol,Open Int
"Dec 14, 2018",9.4,-3.44,7.2,7.8,3,5,GOOG,1095,"Dec 14, 2018",,,73.5,81.3,0,0
"Dec 14, 2018",12,,6.8,7.4,0,8,GOOG,1097.5,"Dec 14, 2018",78.5,10.4,78.5,80.2,1,1
"Dec 14, 2018",6.5,-4.25,6.5,7,22,58,GOOG,1100,"Dec 14, 2018",75.31,-16.39,77.8,85.4,6,20
"Dec 14, 2018",7.8,-2.7,6,6.6,2,1,GOOG,1102.5,"Dec 14, 2018",,,79.9,87.5,0,0
"Dec 14, 2018",7,-3.46,5.6,6.2,5,4,GOOG,1105,"Dec 14, 2018",,,81.7,89.6,0,0
"Dec 14, 2018",6.9,-2.9,5.2,5.8,1,3,GOOG,1107.5,"Dec 14, 2018",,,84.1,91.8,0,0
"Dec 14, 2018",5.68,-3.72,4.9,5.5,8,21,GOOG,1110,"Dec 14, 2018",88,26.48,86.2,93.6,5,15
"Dec 14, 2018",13.3,,4.4,5.3,0,2,GOOG,1112.5,"Dec 14, 2018",,,88.5,96.2,0,0
"Dec 14, 2018",5.3,,4.3,4.8,3,0,GOOG,1115,"Dec 14, 2018",68.99,,90.6,98.1,0,2
"Dec 14, 2018",5.7,,2.95,4.6,0,11,GOOG,1117.5,"Dec 14, 2018",,,92.9,100.6,0,0
"Dec 14, 2018",4.6,-0.9,3.8,4.3,1,31,GOOG,1120,"Dec 14, 2018",68.88,,95,102.7,0,13
"Dec 14, 2018",4.3,-1.3,3.3,3.8,1,5,GOOG,1125,"Dec 14, 2018",116.8,,99.5,107.4,0,1
